BOROUGH,ONE_VEHICLE_INVOLVED,TWO_VEHICLES_INVOLVED,THREE_VEHICLES_INVOLVED,MORE_VEHICLES_INVOVLED
BRONX,8627,34385,1962,1150
BROOKLYN,17375,80207,4980,2399
MANHATTAN,13318,66958,2024,1302
QUEENS,12962,70260,4498,1935
STATEN ISLAND,2343,10676,759,270
