Type,Amount
Interactive Feature,1222
News,21029
Slideshow,1363
Schedule,473
Op-Ed,1774
Obituary (Obit),526
Editorial,638
Quote,166
Review,1841
Letter,833
Question,273
Biography,21
Blog,1084
Brief,129
List,125
Video,684
News Analysis,61
briefing,523
,50
Interview,21
Text,9
An Appraisal,14
Correction,55
Paid Death Notice,548
An Analysis; News Analysis,10
Obituary,46
Letter; Editorial,1
Special Report,16
Newsletter,2
An Analysis,1
