home,Score
Punjab,131.8
Wayamba,131.75
Khan Research Laboratories,131.66666666666666
Khan Research Labs,131.66666666666666
Rajshahi Division,131.0
Jharkhand,130.9
Andhra,130.69230769230768
Italy,130.2
Dhaka Division,130.0
Mohammedan Sporting Club,130.0
Kochi Tuskers Kerala,129.66666666666666
Hong Kong,129.66666666666666
Northerns,129.5
State Bank of Pakistan,129.33333333333334
Gauteng,129.22222222222223
Basnahira Cricket Dundee,129.0
Sri Lanka Army,128.5
Ireland,128.28
North Island,127.0
Basnahira North,126.0
Sylhet Royals,126.0
Lahore Region Blues,125.5
Rising Pune Supergiants,124.5
Bloomfield Cricket and Athletic Club,124.16666666666667
Uganda,124.0
Azad Jammu & Kashmir Region,123.0
West Indies A,122.6
Southern Rocks,122.0
Barbados,120.84615384615384
Barisal Division,118.0
Jamaica,117.36363636363636
Sri Lanka Ports Authority Cricket Club,117.0
Centrals,117.0
Eastern Cape,116.0
Sylhet Super Stars,112.0
Galle Cricket Club,109.0
Services,109.0
Jersey,107.0
Antigua Hawksbills,106.0
Nevis,104.0
Uva Next,101.0
St Vincent,96.0
Lankan Cricket Club,93.0
National Bank of Pakistan,81.0
Nagenahira Nagas,77.0
Montserrat,70.0
Grenada,70.0
Sui Northern Gas Pipelines Limited,66.0
